,rated,turns,victory_status,winner,white_rating,black_rating,opening_eco,opening_ply,increment_code
1,1,16,2,2,1322,1261,B00,4,2
3,1,61,3,1,1439,1454,D02,3,2
4,1,95,3,1,1523,1469,C41,5,3
5,0,5,0,0,1250,1002,B27,4,2
6,1,33,2,1,1520,1423,D00,10,2
7,0,9,2,2,1413,2108,B00,5,3
8,1,66,2,2,1439,1392,C50,6,2
9,1,119,3,1,1381,1209,B01,4,2
10,0,39,3,1,1381,1272,A00,1,3
11,0,38,2,2,1381,1867,C02,9,3
12,0,60,2,2,1381,1936,C00,3,3
13,0,31,2,2,1381,1607,C00,2,1
14,0,31,3,1,1094,1141,C50,8,2
15,0,43,2,2,1141,1094,C57,7,2
16,0,52,2,2,1094,1141,C50,8,2
17,0,66,3,2,1141,1094,C50,8,3
18,0,101,2,2,1094,1300,C41,5,2
20,0,14,2,2,1094,1676,C55,6,2
21,0,3,2,1,1094,1068,A40,2,3
23,1,36,2,1,1307,1106,A25,4,2
24,1,13,2,2,1113,1423,B21,3,2
25,1,69,3,1,1078,1219,D01,4,2
26,1,43,2,1,1825,1079,C45,8,2
27,1,54,3,2,1328,1038,D01,4,2
28,1,53,2,2,1056,1156,D10,4,2
29,1,66,3,2,1077,1148,D06,4,2
30,1,64,2,2,1358,1036,B21,3,2
31,1,64,3,2,1200,1002,B52,6,2
32,1,54,2,1,1203,1019,B27,3,2
34,0,11,2,1,1422,975,B20,3,2
35,1,19,2,2,976,1832,B06,4,2
36,1,28,2,1,1569,978,D00,10,2
39,0,34,2,1,2449,978,A21,3,3
40,0,32,0,0,1207,978,B70,10,3
41,0,71,2,2,1241,978,B23,3,2
43,0,66,2,1,2443,978,B76,17,3
47,0,7,2,1,1343,978,B20,3,2
48,0,35,3,1,2436,978,B77,17,3
49,0,41,3,1,2436,978,B01,4,3
54,1,8,2,1,1521,1162,A04,2,2
56,1,28,2,1,1492,1458,C26,5,2
57,1,30,2,2,1414,1442,C41,8,2
58,1,44,2,2,1457,1294,C44,5,2
59,1,29,2,1,1525,1466,C41,6,2
60,1,37,2,2,1207,1579,C00,3,2
61,1,49,2,1,1567,1573,A40,2,2
62,1,32,2,2,1578,1605,A40,2,2
63,1,25,2,1,1939,1581,E10,6,2
64,1,40,3,2,1618,1568,C00,2,2
65,1,39,2,1,1755,1574,A04,2,2
66,1,57,2,1,1561,1596,A45,2,2
68,1,61,2,1,1544,1461,D00,3,2
69,1,44,2,2,1563,1335,D00,3,2
70,1,62,3,2,1579,1470,A41,2,2
71,1,87,3,1,1617,1590,A45,2,2
72,1,54,3,2,1207,1588,C02,7,2
73,1,54,2,2,1595,1547,D00,3,2
74,1,37,2,1,1855,1599,C01,5,2
75,1,50,2,1,1589,1547,A40,2,2
76,1,131,2,1,1571,1728,D02,5,2
77,1,48,2,1,1720,1579,C00,3,2
78,1,47,2,2,1579,2105,D02,5,2
79,1,64,3,2,1768,1560,C00,3,2
80,1,61,2,1,1552,1436,D00,3,2
81,1,57,3,1,1536,1667,D02,5,2
82,1,51,2,1,1521,1549,A10,2,2
83,1,58,3,2,1251,1545,A00,3,2
84,1,71,2,1,1537,1408,D00,3,2
85,1,114,2,1,1522,1512,A40,1,2
86,1,39,2,1,1602,1532,C18,11,2
87,1,20,2,2,1543,1593,D02,5,2
88,1,48,2,2,1556,1539,D00,3,2
89,1,34,3,2,1409,1548,C00,3,2
90,1,51,2,1,1539,1418,D02,5,2
91,1,69,2,1,1603,1550,C00,3,2
92,1,28,2,1,1542,1399,D00,4,2
93,1,62,2,2,1546,1877,D02,5,2
94,1,62,3,2,1134,1535,A47,4,2
95,1,85,3,1,1513,1784,A40,2,2
96,1,38,2,1,1501,1445,D02,5,2
98,1,113,0,0,1745,1714,D06,4,2
99,1,62,2,1,1734,1748,D06,4,2
100,1,101,2,1,1942,1739,C10,6,2
101,1,75,1,1,1724,1855,C45,7,2
102,1,135,3,1,1951,1729,C02,11,2
103,1,81,1,1,1726,1388,C41,5,2
104,1,46,2,2,1735,1806,D80,6,2
105,1,70,3,2,1597,1728,C00,3,2
106,1,39,2,1,1743,1738,C10,10,2
107,1,91,2,1,1721,1750,D30,7,2
108,1,137,1,1,1746,1487,D20,5,2
109,1,46,2,2,1744,1735,C02,9,2
110,1,18,2,2,1749,1631,D41,9,2
111,1,28,2,2,1769,1396,D20,5,2
112,1,40,2,2,1795,1760,A46,5,2
113,1,111,3,1,1729,1795,D31,5,2
114,1,54,3,2,1795,1784,C64,6,2
115,1,33,2,1,1770,1872,D02,3,2
116,1,90,2,2,1783,1721,D02,5,2
117,1,90,2,2,1884,1768,C64,7,2
118,1,40,3,2,1756,1756,C24,5,2
119,1,49,1,1,1724,1958,A43,5,1
120,1,50,2,2,2036,1706,A08,6,2
121,1,59,3,1,1706,925,D02,5,2
122,1,26,1,2,1244,1219,B00,4,2
123,1,23,3,1,1215,921,C50,5,2
124,1,118,3,2,1350,1201,B03,5,2
125,1,66,3,2,1210,1280,B29,4,2
126,1,120,0,0,1139,1212,C50,8,2
127,1,36,3,2,1220,1341,C57,11,2
128,1,26,3,2,1234,1359,C55,6,2
129,1,62,2,2,1275,1236,C57,11,2
130,1,37,2,1,1433,1282,B02,3,2
131,1,24,2,2,1132,1276,D06,4,2
132,0,47,2,1,1276,1308,C55,6,3
133,1,37,2,2,1228,1266,B02,7,2
134,1,24,2,2,1273,1409,B13,5,2
135,1,9,2,1,1338,1277,D00,3,2
136,1,47,3,1,1263,1336,B57,8,2
137,1,85,3,1,1316,1273,A20,2,2
138,1,39,3,1,1248,1253,B00,2,2
139,1,58,3,2,1335,1233,E20,6,2
140,1,95,3,1,1223,1189,C57,11,2
141,1,2,2,2,1443,1204,B02,2,2
142,1,97,3,1,1227,1216,D06,4,2
143,1,12,0,0,1215,1219,C50,5,2
144,1,30,2,1,1227,1227,C50,8,2
145,1,43,3,1,1550,1225,E11,8,2
146,1,11,2,1,1325,1234,B02,2,2
147,1,72,3,2,1212,1221,B02,5,2
148,1,156,3,2,1226,1478,C40,3,2
149,1,18,2,2,1228,1626,D30,4,2
150,0,77,3,1,1191,1228,C11,7,2
151,1,32,2,2,1422,1210,B02,5,2
152,1,35,2,1,1186,1223,C28,5,2
153,1,85,3,1,1212,1212,B06,2,2
154,1,50,2,2,1228,1343,B01,6,2
155,1,111,2,1,1865,1862,A46,5,2
156,1,65,1,1,1852,1852,B30,5,2
157,1,73,2,1,1833,1863,A56,4,2
158,1,125,2,1,1851,1918,B27,4,2
159,1,76,2,2,1861,1844,C55,6,2
160,1,65,1,1,1853,1774,C65,6,2
161,1,41,3,1,1910,1862,B90,11,2
162,1,59,2,1,1851,1890,C00,3,2
163,1,70,2,2,1860,1840,B50,5,2
164,1,34,2,1,1828,1848,B51,5,3
165,1,69,1,1,1855,1858,E00,1,1
166,1,63,2,1,1847,1895,C70,8,2
167,1,107,2,1,1885,1856,B50,4,2
168,1,58,2,1,1847,1802,A40,1,2
169,0,34,2,2,1847,1856,B11,6,2
170,1,100,1,2,1840,1837,B22,3,2
171,1,80,2,2,1848,1806,B40,4,2
172,1,44,2,2,1860,1820,C00,3,2
173,1,40,1,2,1854,1849,A45,3,2
174,1,105,1,1,1895,1859,B50,4,2
175,1,50,2,2,1866,1965,B31,6,2
176,0,144,1,0,1866,1843,B50,4,2
177,0,81,2,2,1835,1866,B18,11,2
178,1,69,2,2,1877,1860,C61,6,2
179,1,77,3,1,1849,1874,B90,11,2
180,1,158,3,2,1835,1865,E10,6,2
181,1,107,0,0,1866,1835,C55,7,2
182,1,117,3,1,1856,1829,C78,12,2
183,1,44,2,1,1845,1846,C70,8,2
184,1,40,2,2,1834,1835,B30,4,2
185,1,59,2,1,1846,1845,B10,2,2
186,0,110,2,2,1845,1917,D06,4,2
187,1,30,2,2,1858,1790,B01,4,2
188,1,54,2,2,1871,1847,B30,4,2
189,1,69,2,2,1846,1869,C41,5,2
190,1,178,3,2,1843,1836,B22,3,2
